date,unemp_rate,trade_balance,fed_funds,cpi,year,month
1998-01-01,4.6,-10776,5.56,68.34952767,1998,1
1998-02-01,4.6,-11564,5.51,68.34952767,1998,2
1998-03-01,4.7,-12880,5.49,68.34952767,1998,3
1998-04-01,4.3,-13940,5.45,68.4339098,1998,4
1998-05-01,4.4,-14202,5.49,68.60267407,1998,5
1998-06-01,4.5,-13247,5.56,68.6870562,1998,6
1998-07-01,4.5,-13949,5.54,68.85582047,1998,7
1998-08-01,4.5,-16028,5.55,68.9402026,1998,8
1998-09-01,4.6,-14820,5.51,68.98239367,1998,9
1998-10-01,4.5,-14815,5.07,69.15115793,1998,10
1998-11-01,4.4,-15173,4.83,69.23554007,1998,11
1998-12-01,4.4,-14745,4.68,69.36211327,1998,12
1999-01-01,4.3,-15946,4.63,69.48868647,1999,1
1999-02-01,4.4,-18786,4.76,69.48868647,1999,2
1999-03-01,4.2,-17900,4.81,69.53087753,1999,3
1999-04-01,4.3,-18254,4.74,69.99497926,1999,4
1999-05-01,4.2,-20229,4.74,70.03717033,1999,5
1999-06-01,4.3,-23115,4.76,70.03717033,1999,6
1999-07-01,4.3,-23421,4.99,70.33250779,1999,7
1999-08-01,4.2,-22977,5.07,70.50127206,1999,8
1999-09-01,4.2,-22899,5.22,70.79660953,1999,9
1999-10-01,4.1,-23531,5.2,70.92318273,1999,10
1999-11-01,4.1,-25224,5.42,71.04975592,1999,11
1999-12-01,4,-26337,5.3,71.21852019,1999,12
2000-01-01,4,-27088,5.45,71.42947552,2000,1
2000-02-01,4.1,-29930,5.73,71.72481299,2000,2
2000-03-01,4,-31154,5.85,72.14672365,2000,3
2000-04-01,3.8,-28800,6.02,72.10453259,2000,4
2000-05-01,4,-29813,6.27,72.23110579,2000,5
2000-06-01,4,-30966,6.53,72.65301645,2000,6
2000-07-01,4,-31426,6.54,72.86397178,2000,7
2000-08-01,4.1,-30035,6.5,72.86397178,2000,8
2000-09-01,3.9,-34018,6.52,73.24369138,2000,9
2000-10-01,3.9,-33224,6.51,73.37026458,2000,10
2000-11-01,3.9,-32607,6.51,73.49683778,2000,11
2000-12-01,3.9,-33454,6.4,73.66560205,2000,12
2001-01-01,4.2,-34817,5.98,74.08751271,2001,1
2001-02-01,4.2,-29349,5.49,74.25627698,2001,2
2001-03-01,4.3,-32732,5.31,74.29846804,2001,3
2001-04-01,4.4,-31217,4.8,74.42504124,2001,4
2001-05-01,4.3,-27446,4.21,74.80476084,2001,5
2001-06-01,4.5,-29140,3.97,74.97352511,2001,6
2001-07-01,4.6,-30081,3.77,74.84695191,2001,7
2001-08-01,4.9,-28171,3.65,74.84695191,2001,8
2001-09-01,5,-31141,3.07,75.14228937,2001,9
2001-10-01,5.3,-30839,2.49,74.93133404,2001,10
2001-11-01,5.5,-29737,2.09,74.88914297,2001,11
2001-12-01,5.7,-26839,1.82,74.84695191,2001,12
2002-01-01,5.7,-29355,1.73,74.97352511,2002,1
2002-02-01,5.7,-32287,1.74,75.10009831,2002,2
2002-03-01,5.7,-30825,1.73,75.31105364,2002,3
2002-04-01,5.9,-33666,1.75,75.64858217,2002,4
2002-05-01,5.8,-33921,1.75,75.7329643,2002,5
2002-06-01,5.8,-34900,1.75,75.77515537,2002,6
2002-07-01,5.8,-33650,1.73,75.94391963,2002,7
2002-08-01,5.7,-35743,1.74,76.15487497,2002,8
2002-09-01,5.7,-36519,1.75,76.28144817,2002,9
2002-10-01,5.7,-35171,1.75,76.45021243,2002,10
2002-11-01,5.9,-39624,1.34,76.57678563,2002,11
2002-12-01,6,-43294,1.24,76.70335883,2002,12
2003-01-01,5.8,-40740,1.24,77.04088736,2003,1
2003-02-01,5.9,-39363,1.26,77.46279803,2003,2
2003-03-01,5.9,-43355,1.25,77.58937123,2003,3
2003-04-01,6,-41987,1.26,77.29403376,2003,4
2003-05-01,6.1,-40779,1.26,77.16746056,2003,5
2003-06-01,6.3,-39621,1.22,77.25184269,2003,6
2003-07-01,6.2,-41363,1.01,77.50498909,2003,7
2003-08-01,6.1,-39802,1.03,77.84251763,2003,8
2003-09-01,6.1,-41706,1.01,78.09566402,2003,9
2003-10-01,6,-41271,1.01,78.01128189,2003,10
2003-11-01,5.8,-39841,1,78.05347296,2003,11
2003-12-01,5.7,-44064,0.98,78.26442829,2003,12
2004-01-01,5.7,-44352,1,78.60195682,2004,1
2004-02-01,5.6,-44322,1.01,78.77072109,2004,2
2004-03-01,5.8,-46484,1,78.93948535,2004,3
2004-04-01,5.6,-47479,1,79.06605855,2004,4
2004-05-01,5.6,-48169,1,79.40358708,2004,5
2004-06-01,5.6,-54702,1.03,79.69892455,2004,6
2004-07-01,5.5,-51293,1.26,79.78330668,2004,7
2004-08-01,5.4,-53316,1.43,79.82549775,2004,8
2004-09-01,5.4,-51489,1.61,80.07864415,2004,9
2004-10-01,5.5,-54961,1.76,80.50055481,2004,10
2004-11-01,5.4,-58819,1.93,80.88027441,2004,11
2004-12-01,5.4,-54500,2.16,80.88027441,2004,12
2005-01-01,5.3,-55561,2.28,80.83808334,2005,1
2005-02-01,5.4,-57454,2.5,81.17561188,2005,2
2005-03-01,5.2,-52619,2.63,81.47094934,2005,3
2005-04-01,5.2,-57115,2.79,81.72409574,2005,4
2005-05-01,5.1,-56264,3,81.68190467,2005,5
2005-06-01,5,-58260,3.04,81.72409574,2005,6
2005-07-01,5,-58063,3.26,82.23038854,2005,7
2005-08-01,4.9,-58388,3.5,82.73668134,2005,8
2005-09-01,5,-64923,3.62,83.87584013,2005,9
2005-10-01,5,-67140,3.78,84.00241333,2005,10
2005-11-01,5,-64090,4,83.58050266,2005,11
2005-12-01,4.9,-64366,4.16,83.58050266,2005,12
2006-01-01,4.7,-66680,4.29,84.08679546,2006,1
2006-02-01,4.8,-62851,4.49,84.12898653,2006,2
2006-03-01,4.7,-62574,4.59,84.25555973,2006,3
2006-04-01,4.7,-62844,4.79,84.67747039,2006,4
2006-05-01,4.6,-64844,4.94,84.93061679,2006,5
2006-06-01,4.6,-63481,4.99,85.14157212,2006,6
2006-07-01,4.7,-66525,5.24,85.60567385,2006,7
2006-08-01,4.7,-67823,5.25,85.98539345,2006,8
2006-09-01,4.5,-64936,5.25,85.56348279,2006,9
2006-10-01,4.4,-58990,5.25,85.18376319,2006,10
2006-11-01,4.5,-58575,5.25,85.22595426,2006,11
2006-12-01,4.4,-61592,5.24,85.69005599,2006,12
2007-01-01,4.6,-57656,5.25,85.83223988,2007,1
2007-02-01,4.5,-58478,5.26,86.1651274,2007,2
